Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3983223168970802,0.25152073732718894,0.2515793020810059,0.2514718729987043,0.7505323414714206,0.2513051762495849,[0.25555151 0.25145985 0.27132657 0.22797927],[0.25676664 0.25109329 0.24974057 0.24828698],[0.74802859 0.74697755 0.75637643 0.7507468 ],[0.25555151 0.25145985 0.27132657 0.22797927],[0.25615764 0.25127644 0.26008646 0.23770017],1.3862943805802252,0.25483870967741934,0.252620018387106,0.2545111163541662,0.7515173363644647,0.24782817187390538,[0.25647668 0.27354839 0.24434389 0.23611111],[0.39182058 0.25572979 0.21011673 0.16037736],[0.6323655  0.75209159 0.78488622 0.83672604],[0.25647668 0.27354839 0.24434389 0.23611111],[0.31002088 0.26433915 0.22594142 0.19101124],1:02:49,0:12:45
1.3942374183505362,0.2488479262672811,0.2488604834873046,0.24880705788128035,0.749666314451027,0.24855967842039933,[0.25825933 0.25546094 0.26171429 0.22000738],[0.26591075 0.25145773 0.23763404 0.24022572],[0.74273041 0.75191216 0.75650207 0.74752061],[0.25825933 0.25546094 0.26171429 0.22000738],[0.26202919 0.25344353 0.24909355 0.22967245],1.3862943758503083,0.25548387096774194,0.2554317637548764,0.2553679664016229,0.7516810491785764,0.24029402735421476,[0.25247525 0.26025641 0.26425856 0.24473684],[0.47097625 0.24487334 0.18028534 0.12533693],[0.54867635 0.7459269  0.83383426 0.87828668],[0.25247525 0.26025641 0.26425856 0.24473684],[0.32872928 0.25233064 0.21434079 0.1657754 ],1:02:19,0:12:37
1.3942374189603164,0.24746543778801844,0.24736619892903877,0.2473661126641435,0.7491203742274455,0.2472197593059357,[0.24906647 0.25064791 0.26353791 0.22621251],[0.24396489 0.24672012 0.25250778 0.24627166],[0.75221784 0.75030841 0.74368639 0.75026885],[0.24906647 0.25064791 0.26353791 0.22621251],[0.24648928 0.2486685  0.25790496 0.23581629],1.3862943693514793,0.25225806451612903,0.2587671399906122,0.2533920502710743,0.7512383404512266,0.21779449342939095,[0.24155844 0.28519856 0.26934097 0.23897059],[0.61345646 0.19059107 0.12191958 0.08760108],[0.3766012  0.82562748 0.89051095 0.91221374],[0.24155844 0.28519856 0.26934097 0.23897059],[0.34662691 0.22848879 0.16785714 0.12820513],1:01:46,0:12:38
1.393431287701778,0.2471889400921659,0.2474591381052577,0.24732788540797435,0.7491545369261495,0.2470641973528754,[0.24223137 0.26133829 0.26360925 0.22265764],[0.2366496  0.25619534 0.24455206 0.25191455],[0.75061607 0.75487293 0.75185325 0.7392759 ],[0.24223137 0.26133829 0.26360925 0.22265764],[0.23940796 0.25874126 0.25372331 0.23638427],1.3862943791189501,0.24516129032258063,0.24620231112229285,0.24799170041505922,0.7493281238691403,0.14389250702322362,[0.24236783 0.26062323 0.3        0.18181818],[0.85883905 0.11097708 0.01945525 0.00269542],[0.13108454 0.88507266 0.98497209 0.99618321],[0.24236783 0.26062323 0.3        0.18181818],[0.37804878 0.15566836 0.0365408  0.00531208],1:01:33,0:12:43
