Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.394777235477061,0.25181272938859545,0.2517389604030759,0.25152967516769587,0.7506178395363754,0.25158343099447067,[0.25440172 0.26387888 0.26328757 0.22538767],[0.25008831 0.2572935  0.26190476 0.23683213],[0.75119904 0.75474417 0.74828623 0.74824191],[0.25440172 0.26387888 0.26328757 0.22538767],[0.25222658 0.26054458 0.26259435 0.23096822],1.3862943633934919,0.2318840579710145,0.23523705252073418,0.24253854709621428,0.7469285749704884,0.1495182995707078,[0.23091423 0.23188406 0.12727273 0.35087719],[0.8277027  0.04863222 0.02028986 0.07352941],[0.13742072 0.94194962 0.94648829 0.96185567],[0.23091423 0.23188406 0.12727273 0.35087719],[0.36109064 0.08040201 0.035      0.12158055],1:02:46,0:05:03
1.3952054108451595,0.2584370244382777,0.2583820844033099,0.25832300225409494,0.7528191979473746,0.2582792021291053,[0.26488414 0.26107653 0.26851527 0.2390524 ],[0.26245143 0.25061511 0.26785714 0.25236832],[0.75275779 0.75762671 0.74936861 0.75152368],[0.26488414 0.26107653 0.26851527 0.2390524 ],[0.26366217 0.25573888 0.2681858  0.24552995],1.3862943615698393,0.2463768115942029,0.276991180006564,0.25639157333683776,0.7522036722890004,0.14069036885649008,[0.24204947 0.29268293 0.36111111 0.21212121],[0.92567568 0.03647416 0.03768116 0.02573529],[0.09302326 0.96823658 0.97435897 0.97319588],[0.24204947 0.29268293 0.36111111 0.21212121],[0.3837535  0.06486486 0.06824147 0.04590164],1:02:43,0:05:03
1.39209846150063,0.25602005192015037,0.2562381312516221,0.25606448151263994,0.7520673154550293,0.2559297765485783,[0.26055613 0.26306039 0.26458566 0.23675035],[0.26810314 0.24956063 0.24929972 0.25729443],[0.74172662 0.76110978 0.76199639 0.74343647],[0.26055613 0.26306039 0.26458566 0.23675035],[0.26427577 0.25613276 0.25671534 0.24659524],1.3862943605140403,0.2471819645732689,0.2616389991898402,0.25140040987142664,0.7507215356238972,0.21564152638511708,[0.2311622  0.27722772 0.30935252 0.22881356],[0.61148649 0.17021277 0.12463768 0.09926471],[0.36363636 0.84008762 0.89297659 0.90618557],[0.2311622  0.27722772 0.30935252 0.22881356],[0.33549583 0.21092279 0.17768595 0.13846154],1:02:50,0:05:05
1.3913226951503592,0.25306597439799483,0.25313367459227676,0.25296351307183423,0.7510428174985053,0.2529691914513964,[0.26632801 0.25454545 0.25955016 0.23211107],[0.25927234 0.25096661 0.25455182 0.24706328],[0.75755396 0.748859   0.75057126 0.74718706],[0.26632801 0.25454545 0.25955016 0.23211107],[0.26275282 0.25274336 0.25702669 0.23935389],1.3862943637774185,0.24235104669887278,0.23485310512164734,0.2523106245398377,0.7501902476874311,0.16129766154334238,[0.24509804 0.2173913  0.2        0.27692308],[0.84459459 0.06079027 0.03768116 0.06617647],[0.18604651 0.9211391  0.94202899 0.95154639],[0.24509804 0.2173913  0.2        0.27692308],[0.37993921 0.09501188 0.06341463 0.10682493],1:03:18,0:05:06
