Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.39318943030618,0.24697878435234089,0.24687865792156133,0.24699335609947307,0.7489628367971668,0.24689653049504867,[0.25689046 0.25604552 0.23830094 0.23627772],[0.25679972 0.25307557 0.23179272 0.24630542],[0.74784173 0.74873889 0.74552014 0.75375059],[0.25689046 0.25604552 0.23830094 0.23627772],[0.25684508 0.25455188 0.23500177 0.24118738],1.3862943790385112,0.2608695652173913,0.2614034453886796,0.26089558870276613,0.7534169557821858,0.24774038287531386,[0.24765478 0.28267477 0.27038627 0.24489796],[0.44594595 0.28267477 0.1826087  0.13235294],[0.57610994 0.7415115  0.81047938 0.88556701],[0.24765478 0.28267477 0.27038627 0.24489796],[0.31845597 0.28267477 0.21799308 0.17183771],1:02:24,0:05:06
1.3934610843679789,0.24760540685704055,0.24767763368834328,0.24762714806895914,0.7491791633696689,0.2475984077076374,[0.2525289  0.23652904 0.26376394 0.23788865],[0.24690922 0.23760984 0.25665266 0.24933687],[0.75191847 0.73792938 0.75393867 0.75293015],[0.2525289  0.23652904 0.26376394 0.23788865],[0.24968744 0.23706821 0.26015972 0.24347826],1.3862943790385112,0.2608695652173913,0.2614034453886796,0.26089558870276613,0.7534169557821858,0.24774038287531386,[0.24765478 0.28267477 0.27038627 0.24489796],[0.44594595 0.28267477 0.1826087  0.13235294],[0.57610994 0.7415115  0.81047938 0.88556701],[0.24765478 0.28267477 0.27038627 0.24489796],[0.31845597 0.28267477 0.21799308 0.17183771],1:02:17,0:05:10
1.3924209087988373,0.24796347685972608,0.2479853871523473,0.24796840526574968,0.7493018948882214,0.2479168885927553,[0.24737945 0.24732334 0.25991991 0.23731884],[0.25008831 0.24358524 0.25       0.24820008],[0.74172662 0.74669709 0.7555021  0.75328176],[0.24737945 0.24732334 0.25991991 0.23731884],[0.24872651 0.24544006 0.25486347 0.24263753],1.3862943790385112,0.2608695652173913,0.2614034453886796,0.26089558870276613,0.7534169557821858,0.24774038287531386,[0.24765478 0.28267477 0.27038627 0.24489796],[0.44594595 0.28267477 0.1826087  0.13235294],[0.57610994 0.7415115  0.81047938 0.88556701],[0.24765478 0.28267477 0.27038627 0.24489796],[0.31845597 0.28267477 0.21799308 0.17183771],1:02:31,0:05:08
1.3942033815870523,0.24608360934562706,0.246052436487159,0.2460209394952716,0.7487135546899761,0.24595056450106767,[0.26298932 0.24185876 0.25239617 0.22696549],[0.2610385  0.23233743 0.24894958 0.24175824],[0.75167866 0.751141   0.74672279 0.74531177],[0.26298932 0.24185876 0.25239617 0.22696549],[0.26201028 0.23700251 0.25066103 0.23412844],1.3862943790385112,0.2608695652173913,0.2614034453886796,0.26089558870276613,0.7534169557821858,0.24774038287531386,[0.24765478 0.28267477 0.27038627 0.24489796],[0.44594595 0.28267477 0.1826087  0.13235294],[0.57610994 0.7415115  0.81047938 0.88556701],[0.24765478 0.28267477 0.27038627 0.24489796],[0.31845597 0.28267477 0.21799308 0.17183771],1:02:33,0:05:07
