Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3969072938899292,0.2523502304147465,0.25225620575247076,0.2521598042124805,0.7507825841733797,0.25204031015088,[0.25073855 0.26315789 0.26943005 0.22569832],[0.24835406 0.26421283 0.25181598 0.24425635],[0.75       0.74956822 0.75197889 0.75158322],[0.25073855 0.26315789 0.26943005 0.22569832],[0.24954061 0.26368431 0.26032541 0.23461092],1.3862943730046673,0.25387096774193546,0.25246231310791395,0.25380753204918377,0.7512463664606359,0.23016771645421838,[0.25047081 0.26845638 0.25221239 0.23870968],[0.52638522 0.24125452 0.14785992 0.09973046],[0.49017933 0.76001761 0.85487334 0.89991518],[0.25047081 0.26845638 0.25221239 0.23870968],[0.33943003 0.25412961 0.18642682 0.14068441],0:55:57,0:12:42
1.395709426886475,0.2537327188940092,0.25366125123787275,0.25379487816464846,0.751200767508031,0.2535758873607896,[0.25529543 0.256102   0.26703297 0.23621461],[0.25128018 0.25619534 0.25216188 0.25554212],[0.75308034 0.74808784 0.74858651 0.75504839],[0.25529543 0.256102   0.26703297 0.23621461],[0.25327189 0.25614866 0.25938445 0.24549855],1.3862943726585757,0.24225806451612902,0.24403227279412498,0.24178087089331993,0.7472696952176225,0.2093617068980366,[0.23458904 0.26120359 0.23913043 0.24120603],[0.54221636 0.24607961 0.11413748 0.06469003],[0.42741247 0.7459269  0.87977673 0.93596268],[0.23458904 0.26120359 0.23913043 0.24120603],[0.32749004 0.25341615 0.15452151 0.10201913],0:55:25,0:12:42
1.3941555439382105,0.251889400921659,0.251792681801532,0.2519209260999876,0.7505823163135692,0.25171307757194034,[0.25970696 0.25130112 0.26338798 0.23277467],[0.25932699 0.24635569 0.25008648 0.25191455],[0.75098571 0.75154207 0.74594798 0.75385351],[0.25970696 0.25130112 0.26338798 0.23277467],[0.25951684 0.24880383 0.25656494 0.24196671],1.3862943669672936,0.25483870967741934,0.2659606040504839,0.25472045448122177,0.7516302822792585,0.21224019016878024,[0.24161074 0.27700831 0.28522337 0.26      ],[0.61741425 0.24125452 0.1076524  0.05256065],[0.37275833 0.77014531 0.91069128 0.95292621],[0.24161074 0.27700831 0.28522337 0.26      ],[0.34730983 0.25789813 0.15630885 0.08744395],0:55:27,0:12:39
1.3917546860248813,0.25465437788018436,0.25427606441399464,0.2540243247523004,0.7515282850778344,0.2540453903079668,[0.26551227 0.25212255 0.27940102 0.22006842],[0.26920263 0.24890671 0.26461432 0.23337364],[0.74913751 0.75006168 0.75210454 0.75480942],[0.26551227 0.25212255 0.27940102 0.22006842],[0.26734471 0.25050431 0.27180672 0.22652582],1.3862943682747502,0.2535483870967742,0.2567042083924159,0.25503410153611494,0.7515688800794323,0.2122863188225133,[0.25       0.25352113 0.29153605 0.23175966],[0.6530343  0.17370326 0.12062257 0.07277628],[0.36592656 0.81329811 0.90296264 0.92408821],[0.25       0.25352113 0.29153605 0.23175966],[0.36157779 0.20615605 0.1706422  0.11076923],0:55:40,0:12:41
