Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3931493480900665,0.2544982544087369,0.25475495768649764,0.254349629033032,0.7515751256103993,0.2543957828635142,[0.26474769 0.26160648 0.26669073 0.22597493],[0.26315789 0.24956063 0.2587535  0.24592649],[0.75191847 0.75930819 0.75562237 0.73945148],[0.26474769 0.26160648 0.26669073 0.22597493],[0.2639504  0.25544163 0.26266216 0.23552894],1.3862943829737615,0.24396135265700483,0.23413037754218732,0.245218565149389,0.7483675370578367,0.21138933499566165,[0.24052478 0.271777   0.24444444 0.17977528],[0.55743243 0.23708207 0.12753623 0.05882353],[0.44926004 0.77108434 0.8483835  0.92474227],[0.24052478 0.271777   0.24444444 0.17977528],[0.33604888 0.25324675 0.16761905 0.08864266],1:07:05,0:05:42
1.392203663597281,0.2505594843791961,0.25042244574860995,0.2503971305908283,0.750167385810736,0.2503700899385613,[0.26090039 0.25587101 0.25308194 0.23183644],[0.25997881 0.25659051 0.24439776 0.24062145],[0.75       0.74501561 0.75225496 0.75339897],[0.26090039 0.25587101 0.25308194 0.23183644],[0.26043878 0.25623026 0.24866405 0.23614727],1.3862943829737615,0.24396135265700483,0.23413037754218732,0.245218565149389,0.7483675370578367,0.21138933499566165,[0.24052478 0.271777   0.24444444 0.17977528],[0.55743243 0.23708207 0.12753623 0.05882353],[0.44926004 0.77108434 0.8483835  0.92474227],[0.24052478 0.271777   0.24444444 0.17977528],[0.33604888 0.25324675 0.16761905 0.08864266],1:06:07,0:05:41
1.3927303515224596,0.25539342941545073,0.255676633321181,0.255446322303707,0.7518629664430704,0.2553753538577943,[0.26108549 0.25351098 0.27181582 0.23629424],[0.25997881 0.24745167 0.25630252 0.25805229],[0.75023981 0.7510209  0.76416115 0.74203   ],[0.26108549 0.25351098 0.27181582 0.23629424],[0.26053097 0.25044468 0.26383132 0.24669444],1.3862943829737615,0.24396135265700483,0.23413037754218732,0.245218565149389,0.7483675370578367,0.21138933499566165,[0.24052478 0.271777   0.24444444 0.17977528],[0.55743243 0.23708207 0.12753623 0.05882353],[0.44926004 0.77108434 0.8483835  0.92474227],[0.24052478 0.271777   0.24444444 0.17977528],[0.33604888 0.25324675 0.16761905 0.08864266],1:06:04,0:05:46
1.3920957353684718,0.250290931877182,0.25037056103026784,0.25032142087088116,0.7501159611730734,0.2502438692511028,[0.25599129 0.25202679 0.25798258 0.23548159],[0.24902861 0.2513181  0.24894958 0.25198939],[0.75431655 0.74513572 0.75405893 0.74695265],[0.25599129 0.25202679 0.25798258 0.23548159],[0.25246195 0.25167195 0.2533856  0.24345598],1.3862943829737615,0.24396135265700483,0.23413037754218732,0.245218565149389,0.7483675370578367,0.21138933499566165,[0.24052478 0.271777   0.24444444 0.17977528],[0.55743243 0.23708207 0.12753623 0.05882353],[0.44926004 0.77108434 0.8483835  0.92474227],[0.24052478 0.271777   0.24444444 0.17977528],[0.33604888 0.25324675 0.16761905 0.08864266],1:06:05,0:05:46
