Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3968445526119333,0.24948527437113957,0.24942131839134285,0.2494235713035738,0.7498154813118174,0.24936203960414322,[0.2547654  0.26402525 0.24476765 0.23412698],[0.24549629 0.26467487 0.24159664 0.24592649],[0.75623501 0.74789815 0.7439567  0.75117206],[0.2547654  0.26402525 0.24476765 0.23412698],[0.25004497 0.26434966 0.24317181 0.23988172],1.386294377790749,0.26006441223832527,0.27430336369442115,0.2621144986171582,0.7544346705604708,0.2231101631336913,[0.2377261  0.29803922 0.32857143 0.23287671],[0.62162162 0.23100304 0.13333333 0.0625    ],[0.37632135 0.80394304 0.89520624 0.94226804],[0.2377261  0.29803922 0.32857143 0.23287671],[0.34392523 0.26027397 0.18969072 0.09855072],1:04:05,0:05:09
1.395108945164191,0.24474084683555636,0.24477280622649028,0.2447398473046725,0.7482590912921936,0.2446598146041289,[0.24738311 0.246891   0.25478858 0.23002853],[0.25044154 0.23725835 0.24684874 0.24441076],[0.74136691 0.75270238 0.75201443 0.74695265],[0.24738311 0.246891   0.25478858 0.23002853],[0.24890293 0.24197885 0.25075582 0.23700165],1.3862943870049935,0.2640901771336554,0.2658776262385615,0.2686962663218649,0.7563939137557912,0.1932167880802741,[0.25082147 0.30932203 0.31818182 0.18518519],[0.77364865 0.2218845  0.06086957 0.01838235],[0.2769556  0.82146769 0.94983278 0.97731959],[0.25082147 0.30932203 0.31818182 0.18518519],[0.37882548 0.25840708 0.10218978 0.03344482],1:03:29,0:05:08
1.3923199968066535,0.2511861068838958,0.2514048465983328,0.25123827148696265,0.7504597406203568,0.25114325702303786,[0.25785245 0.25851064 0.25734214 0.23191416],[0.24938184 0.25623902 0.24544818 0.25388405],[0.75635492 0.748859   0.75670475 0.7399203 ],[0.25785245 0.25851064 0.25734214 0.23191416],[0.25354642 0.25736981 0.25125448 0.24240232],1.3862943654091078,0.23752012882447665,0.2586809682275572,0.2487154798602192,0.7496066305872635,0.11038391765703442,[0.23710483 0.25       0.33333333 0.21428571],[0.96283784 0.01519757 0.0057971  0.01102941],[0.03065539 0.98357065 0.99554069 0.98865979],[0.23710483 0.25       0.33333333 0.21428571],[0.38050734 0.0286533  0.01139601 0.02097902],1:03:31,0:05:08
1.3911802375202438,0.2558410169188076,0.2556820404948834,0.2556370603531736,0.7519130922603388,0.2556427179940898,[0.25265769 0.26586317 0.26581379 0.23839352],[0.25185447 0.26362039 0.26190476 0.24516862],[0.7471223  0.75126111 0.75153337 0.75773558],[0.25265769 0.26586317 0.26581379 0.23839352],[0.25225544 0.26473703 0.2638448  0.24173361],1.3862943814380542,0.23752012882447665,0.24613116983405675,0.2384503881558624,0.7464453960046015,0.22788752387000294,[0.21693122 0.23920266 0.31       0.2183908 ],[0.41554054 0.21884498 0.17971014 0.13970588],[0.53065539 0.74917853 0.84615385 0.85979381],[0.21693122 0.23920266 0.31       0.2183908 ],[0.28505214 0.22857143 0.22752294 0.17040359],1:03:50,0:05:08
