Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3972530177335114,0.25342404440068034,0.2534182015946551,0.2536667802718813,0.7511101780627719,0.2534660337900407,[0.25357517 0.25539568 0.25191118 0.25279078],[0.25679972 0.24956063 0.24229692 0.26600985],[0.74340528 0.75138122 0.75285628 0.75679794],[0.25357517 0.25539568 0.25191118 0.25279078],[0.25517726 0.25244444 0.24701053 0.25923191],1.3862943732796085,0.2665056360708535,0.26830485565780415,0.2667697803613282,0.755424348984287,0.253042264723386,[0.25408348 0.27574751 0.29338843 0.25      ],[0.47297297 0.25227964 0.2057971  0.13602941],[0.56553911 0.76122673 0.80936455 0.88556701],[0.25408348 0.27574751 0.29338843 0.25      ],[0.33057851 0.26349206 0.24190801 0.17619048],1:02:31,0:05:06
1.3940190274460806,0.25172321188792407,0.2516338337580213,0.2517457101715506,0.7505625925169673,0.2516130783363851,[0.25784593 0.25923345 0.24981631 0.23963964],[0.25538679 0.26151142 0.23809524 0.25198939],[0.75047962 0.7446553  0.75441972 0.75269573],[0.25784593 0.25923345 0.24981631 0.23963964],[0.25661047 0.26036745 0.24381499 0.2456594 ],1.3862943667528518,0.2431561996779388,0.24222388331399186,0.246040885883318,0.7485155165501319,0.21741526842918973,[0.23830409 0.26459144 0.25       0.216     ],[0.55067568 0.20668693 0.12753623 0.09926471],[0.44926004 0.79299014 0.85284281 0.89896907],[0.23830409 0.26459144 0.25       0.216     ],[0.33265306 0.23208191 0.16890595 0.13602015],1:03:06,0:05:09
1.3941411815390956,0.2478739593590547,0.24772376738026916,0.2477186475630261,0.749284155622706,0.24767462531643475,[0.25837152 0.24192963 0.26188786 0.22870605],[0.25891911 0.2344464  0.25840336 0.23910572],[0.74772182 0.7489791  0.74984967 0.75058603],[0.25837152 0.24192963 0.26188786 0.22870605],[0.25864502 0.23812924 0.26013394 0.23379029],1.3862943726077364,0.25442834138486314,0.25596556824434413,0.25777689388503855,0.7519740648828984,0.23283662289338966,[0.25193199 0.25746269 0.25520833 0.25925926],[0.55067568 0.20972644 0.14202899 0.12867647],[0.48837209 0.78203724 0.84057971 0.89690722],[0.25193199 0.25746269 0.25520833 0.25925926],[0.3457052  0.23115578 0.18249534 0.17199017],1:02:32,0:05:11
1.392338164319455,0.2572732969295497,0.2573320320784101,0.25715858454950336,0.7524326646783738,0.2571418229415451,[0.25955805 0.26153846 0.27011923 0.23811239],[0.26139173 0.2629174  0.25385154 0.25047366],[0.74688249 0.74633678 0.76440168 0.7521097 ],[0.25955805 0.26153846 0.27011923 0.23811239],[0.26047166 0.26222612 0.26173285 0.24413666],1.386294367712669,0.2528180354267311,0.2701993580737525,0.25797009355533596,0.7525852744410306,0.20974299389998538,[0.23871734 0.28431373 0.28947368 0.26829268],[0.67905405 0.17629179 0.09565217 0.08088235],[0.32241015 0.84008762 0.909699   0.93814433],[0.23871734 0.28431373 0.28947368 0.26829268],[0.35325132 0.21763602 0.14379085 0.12429379],1:03:27,0:05:12
