Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.393850125277035,0.2506490018798675,0.25065049231257075,0.2507562887416054,0.7501982955223235,0.2506407715491689,[0.25026474 0.25252161 0.25629044 0.24352518],[0.25044154 0.24639719 0.24964986 0.25653657],[0.74532374 0.75078069 0.75117258 0.75351617],[0.25026474 0.25252161 0.25629044 0.24352518],[0.25035311 0.24942181 0.25292657 0.2498616 ],1.3862943758711146,0.24879227053140096,0.2606608753965464,0.2532622026046211,0.7507102056362308,0.2241544145524387,[0.23578363 0.25738397 0.27388535 0.27559055],[0.57432432 0.18541033 0.12463768 0.12867647],[0.41754757 0.80722892 0.8729097  0.90515464],[0.23578363 0.25738397 0.27388535 0.27559055],[0.33431662 0.2155477  0.17131474 0.1754386 ],0:58:15,0:05:09
1.3930943217340275,0.25342404440068034,0.2534650992551742,0.2532068987791356,0.7511700100422316,0.2532645707636005,[0.26635345 0.26086957 0.25965665 0.22698073],[0.26033204 0.2572935  0.25420168 0.24100038],[0.75659472 0.75090079 0.75105232 0.74613221],[0.26635345 0.26086957 0.25965665 0.22698073],[0.26330832 0.25906919 0.25690021 0.23378056],1.3862943758711146,0.24879227053140096,0.2606608753965464,0.2532622026046211,0.7507102056362308,0.2241544145524387,[0.23578363 0.25738397 0.27388535 0.27559055],[0.57432432 0.18541033 0.12463768 0.12867647],[0.41754757 0.80722892 0.8729097  0.90515464],[0.23578363 0.25738397 0.27388535 0.27559055],[0.33431662 0.2155477  0.17131474 0.1754386 ],0:57:46,0:05:08
1.3940926976345207,0.24483036433622773,0.24487136964298573,0.24484767168853003,0.7482947400848289,0.24476923848110663,[0.24158912 0.24827836 0.25884877 0.23076923],[0.23843165 0.24077329 0.2535014  0.24668435],[0.74592326 0.75090079 0.75069152 0.74566338],[0.24158912 0.24827836 0.25884877 0.23076923],[0.24       0.24446824 0.25614718 0.23846154],1.3862943758711146,0.24879227053140096,0.2606608753965464,0.2532622026046211,0.7507102056362308,0.2241544145524387,[0.23578363 0.25738397 0.27388535 0.27559055],[0.57432432 0.18541033 0.12463768 0.12867647],[0.41754757 0.80722892 0.8729097  0.90515464],[0.23578363 0.25738397 0.27388535 0.27559055],[0.33431662 0.2155477  0.17131474 0.1754386 ],0:57:36,0:05:09
1.3926587303550655,0.2519022468892669,0.25185371672673534,0.25188018913843235,0.7506201860589612,0.25181676197801534,[0.25725407 0.25188917 0.25947105 0.23880058],[0.25679972 0.24604569 0.25420168 0.25047366],[0.74832134 0.75030026 0.75081179 0.75304735],[0.25725407 0.25188917 0.25947105 0.23880058],[0.25702669 0.24893314 0.25680934 0.24449787],1.3862943758711146,0.24879227053140096,0.2606608753965464,0.2532622026046211,0.7507102056362308,0.2241544145524387,[0.23578363 0.25738397 0.27388535 0.27559055],[0.57432432 0.18541033 0.12463768 0.12867647],[0.41754757 0.80722892 0.8729097  0.90515464],[0.23578363 0.25738397 0.27388535 0.27559055],[0.33431662 0.2155477  0.17131474 0.1754386 ],0:57:56,0:05:07
