Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3918816535428922,0.2534562211981567,0.25345094549974256,0.2534545529133679,0.7511452214475061,0.25325914364293434,[0.25344953 0.25763863 0.27013177 0.23258386],[0.25530358 0.24890671 0.25527499 0.25433293],[0.74667324 0.75721688 0.74946601 0.75122476],[0.25344953 0.25763863 0.27013177 0.23258386],[0.25437318 0.25319741 0.26249333 0.24297266],1.3862943660059284,0.2534562211981567,0.25345094549974256,0.2534545529133679,0.7511452214475061,0.25325914364293434,[0.25344953 0.25763863 0.27013177 0.23258386],[0.25530358 0.24890671 0.25527499 0.25433293],[0.74667324 0.75721688 0.74946601 0.75122476],[0.25344953 0.25763863 0.27013177 0.23258386],[0.25437318 0.25319741 0.26249333 0.24297266],0:51:22,0:12:51
1.3927696696184748,0.25105990783410137,0.25108126254029584,0.25105784839731293,0.7504094211352799,0.25078367025255555,[0.2504659  0.24685714 0.27725291 0.2297491 ],[0.24579371 0.2361516  0.26392252 0.25836356],[0.75221784 0.75610659 0.75009423 0.74321902],[0.2504659  0.24685714 0.27725291 0.2297491 ],[0.24810781 0.24138573 0.27042353 0.24321761],1.3862943660059284,0.25105990783410137,0.25108126254029584,0.25105784839731293,0.7504094211352799,0.25078367025255555,[0.2504659  0.24685714 0.27725291 0.2297491 ],[0.24579371 0.2361516  0.26392252 0.25836356],[0.75221784 0.75610659 0.75009423 0.74321902],[0.2504659  0.24685714 0.27725291 0.2297491 ],[0.24810781 0.24138573 0.27042353 0.24321761],0:51:02,0:12:48
1.3943435191668674,0.2432258064516129,0.24334566734310178,0.24324120917819034,0.7477698876520831,0.24305989115588467,[0.25063291 0.25567322 0.25101814 0.21605839],[0.25347476 0.24635569 0.23452093 0.23861346],[0.74470182 0.75721688 0.74582234 0.74333851],[0.25063291 0.25567322 0.25101814 0.21605839],[0.25204583 0.25092799 0.24248927 0.22677648],1.3862943660059284,0.2432258064516129,0.24334566734310178,0.24324120917819034,0.7477698876520831,0.24305989115588467,[0.25063291 0.25567322 0.25101814 0.21605839],[0.25347476 0.24635569 0.23452093 0.23861346],[0.74470182 0.75721688 0.74582234 0.74333851],[0.25063291 0.25567322 0.25101814 0.21605839],[0.25204583 0.25092799 0.24248927 0.22677648],0:50:54,0:12:47
1.3943007689137612,0.24737327188940092,0.2475855285891512,0.2477466972431693,0.7492024877517387,0.24731875337824477,[0.25291971 0.25232256 0.25769669 0.22740316],[0.25347476 0.24744898 0.23452093 0.25554212],[0.74778216 0.7517888  0.75461741 0.74262158],[0.25291971 0.25232256 0.25769669 0.22740316],[0.25319693 0.24986201 0.2455632  0.24065288],1.3862943660059284,0.24737327188940092,0.2475855285891512,0.2477466972431693,0.7492024877517387,0.24731875337824477,[0.25291971 0.25232256 0.25769669 0.22740316],[0.25347476 0.24744898 0.23452093 0.25554212],[0.74778216 0.7517888  0.75461741 0.74262158],[0.25291971 0.25232256 0.25769669 0.22740316],[0.25319693 0.24986201 0.2455632  0.24065288],0:51:01,0:12:46
