Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.3930293766283304,0.24527795183958465,0.24524273767930416,0.2452401341334831,0.7484006200961844,0.2452036449291674,[0.26099392 0.2404661  0.2474005  0.23211042],[0.25785941 0.23936731 0.24159664 0.24213717],[0.75215827 0.74165265 0.74756464 0.75222691],[0.26099392 0.2404661  0.2474005  0.23211042],[0.2594172  0.23991545 0.24446413 0.2370178 ],1.3862943745273706,0.24074074074074073,0.24724825545110762,0.24422349402045487,0.748320832737335,0.21187228856206108,[0.2311828  0.24766355 0.30379747 0.20634921],[0.58108108 0.16109422 0.13913043 0.09558824],[0.39534884 0.82365827 0.87736901 0.89690722],[0.2311828  0.24766355 0.30379747 0.20634921],[0.33076923 0.19521179 0.19085487 0.13065327],0:57:42,0:05:05
1.393034788811178,0.2497538268731537,0.24983184798302788,0.24980910075940715,0.7499378612819059,0.24971984860173266,[0.25106686 0.24747839 0.26432197 0.23646018],[0.24938184 0.24147627 0.2552521  0.25312618],[0.74748201 0.74909921 0.75598316 0.74718706],[0.25106686 0.24747839 0.26432197 0.23646018],[0.25022151 0.24444049 0.25970787 0.24450952],1.3862943745273706,0.24074074074074073,0.24724825545110762,0.24422349402045487,0.748320832737335,0.21187228856206108,[0.2311828  0.24766355 0.30379747 0.20634921],[0.58108108 0.16109422 0.13913043 0.09558824],[0.39534884 0.82365827 0.87736901 0.89690722],[0.2311828  0.24766355 0.30379747 0.20634921],[0.33076923 0.19521179 0.19085487 0.13065327],0:57:25,0:05:08
1.393301800508314,0.25440873690806554,0.2543862225221909,0.2546371914119831,0.7514679426600803,0.2544123608228682,[0.25116279 0.24827336 0.26766595 0.25044279],[0.24796892 0.2400703  0.26260504 0.26790451],[0.74904077 0.75162143 0.75321708 0.7519925 ],[0.25116279 0.24827336 0.26766595 0.25044279],[0.24955563 0.24410293 0.26511135 0.25887953],1.3862943745273706,0.24074074074074073,0.24724825545110762,0.24422349402045487,0.748320832737335,0.21187228856206108,[0.2311828  0.24766355 0.30379747 0.20634921],[0.58108108 0.16109422 0.13913043 0.09558824],[0.39534884 0.82365827 0.87736901 0.89690722],[0.2311828  0.24766355 0.30379747 0.20634921],[0.33076923 0.19521179 0.19085487 0.13065327],0:57:23,0:05:05
1.3940394859733989,0.2478739593590547,0.24782236160389418,0.24785333243843902,0.749281164904051,0.2477821840210251,[0.25355114 0.24746377 0.25576446 0.23451009],[0.2522077  0.2400703  0.25245098 0.24668435],[0.74796163 0.75054048 0.74768491 0.75093765],[0.25355114 0.24746377 0.25576446 0.23451009],[0.25287763 0.24371097 0.25409692 0.24044321],1.3862943745273706,0.24074074074074073,0.24724825545110762,0.24422349402045487,0.748320832737335,0.21187228856206108,[0.2311828  0.24766355 0.30379747 0.20634921],[0.58108108 0.16109422 0.13913043 0.09558824],[0.39534884 0.82365827 0.87736901 0.89690722],[0.2311828  0.24766355 0.30379747 0.20634921],[0.33076923 0.19521179 0.19085487 0.13065327],0:57:17,0:05:08
