Training Loss,Training Accuracy,Training Precision,Training Recall,Training Specificity,Training F-1 Score,Training Class Precision,Training Class Recall,Training Class Specificity,Training Class Accuracy,Training Class F-1 Score,Valid. Loss,Valid. Accuracy,Valid. Precision,Valid. Recall,Valid. Specificity,Valid. F-1 Score,Valid. Class Precision,Valid. Class Recall,Valid. Class Specificity,Valid. Class Accuracy,Valid. Class F-1 Score,Training Time,Validation Time
1.397098656936849,0.25011189687583923,0.25040322735554227,0.2500501689937993,0.7501054609759954,0.25005868932248265,[0.25518227 0.26309922 0.25713267 0.22619875],[0.2522077  0.24885764 0.25245098 0.24668435],[0.7501199  0.76183041 0.74948888 0.73898265],[0.25518227 0.26309922 0.25713267 0.22619875],[0.25368627 0.25578035 0.25477032 0.23599782],1.3862943672327603,0.25442834138486314,0.2504209244458443,0.2541647499437808,0.7514544990065714,0.238563361145634,[0.24954128 0.26625387 0.28318584 0.2027027 ],[0.45945946 0.26139818 0.18550725 0.11029412],[0.56765328 0.74041621 0.81939799 0.87835052],[0.24954128 0.26625387 0.28318584 0.2027027 ],[0.32342449 0.26380368 0.22416813 0.14285714],1:02:56,0:05:06
1.3955707854074668,0.25297645689732345,0.25296729352272007,0.25304340665905223,0.7509756533366104,0.252936513450725,[0.25768668 0.250267   0.26019691 0.24371859],[0.24867538 0.24710018 0.25910364 0.25729443],[0.75683453 0.74705741 0.74696332 0.75304735],[0.25768668 0.250267   0.26019691 0.24371859],[0.25310084 0.24867351 0.25964912 0.25032258],1.386294363009565,0.23993558776167473,0.2626024183956654,0.25129724890431204,0.7502432438961624,0.12267620104501303,[0.23829787 0.21428571 0.25       0.34782609],[0.94594595 0.01823708 0.0115942  0.02941176],[0.05391121 0.97590361 0.98662207 0.98453608],[0.23829787 0.21428571 0.25       0.34782609],[0.38069341 0.03361345 0.02216066 0.05423729],1:02:09,0:05:05
1.3932333289803265,0.24984334437382508,0.24982526978507638,0.25002413003063784,0.7499370496650987,0.2498378604117829,[0.24982053 0.25501231 0.25       0.24446824],[0.24584952 0.25483304 0.23984594 0.25956802],[0.74940048 0.74561614 0.75285628 0.75187529],[0.24982053 0.25501231 0.25       0.24446824],[0.24781912 0.25492264 0.24481773 0.25179195],1.3862943762550415,0.2640901771336554,0.26412588432359657,0.26558417038840937,0.7552347454195776,0.24205053002933863,[0.25318471 0.28911565 0.29032258 0.2238806 ],[0.53716216 0.25835866 0.15652174 0.11029412],[0.50422833 0.77108434 0.85284281 0.89278351],[0.25318471 0.28911565 0.29032258 0.2238806 ],[0.34415584 0.27287319 0.20338983 0.14778325],1:02:04,0:05:05
1.393351388227309,0.2516336943872527,0.2517199272745227,0.25174043050568023,0.7505426658059606,0.25162641957777154,[0.25389518 0.26056338 0.25043968 0.24198147],[0.2532674  0.24710018 0.24929972 0.25729443],[0.74736211 0.76038914 0.74371618 0.75070323],[0.25389518 0.26056338 0.25043968 0.24198147],[0.2535809  0.25365326 0.2498684  0.24940312],1.3862943721278278,0.24557165861513688,0.24355379348644135,0.24672197731881712,0.7494558410702572,0.2172370416760046,[0.23121387 0.29090909 0.28395062 0.16814159],[0.54054054 0.24316109 0.13333333 0.06985294],[0.43763214 0.7864184  0.87068004 0.90309278],[0.23121387 0.29090909 0.28395062 0.16814159],[0.32388664 0.26490066 0.18145957 0.0987013 ],1:02:18,0:05:05
